,Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
11730,Onion,2010,Rabi       ,Mizoram,3,9,2738.7,498.33,0.72,3
3093,Moong(Green Gram),2010,Rabi       ,Puducherry,15,9,1434.5875,2491.65,3.6,0.77
2969,Potato,2009,Kharif     ,Karnataka,28305,175087,1321,4410485.1,4811.85,6.492666667
9291,Onion,2005,Whole Year ,Bihar,18401,160656,907.8,2206647.92,3864.21,8.135263158
2374,Cardamom,2007,Whole Year ,Kerala,39763,7031,3489.6,5304384.2,6362.08,0.047272727
5661,Sesamum,2018,Kharif     ,Karnataka,24776,15640,1419.1,4018667.2,8671.6,0.768571429
11285,Sannhamp,2009,Kharif     ,Uttar Pradesh,1813,334,585.8,282501.66,308.21,0.1790625
19066,Sugarcane,2002,Whole Year ,Arunachal Pradesh,798,15284,2832.8,75546.66,199.5,16.57
14369,Garlic,2015,Whole Year ,Madhya Pradesh,114786.73,1243137,1000.7,18125972.53,37879.6209,11.2916
220,Peas & beans (Pulses),1998,Rabi       ,Karnataka,494,4882,1260.8,48807.2,143.26,8.948181818
18653,Maize,2001,Whole Year ,Sikkim,8000,4000,2372.5,817040,2080,0.5
6124,Ragi,1997,Winter     ,Odisha,37191,19693,1496.6,3539467.47,11529.21,0.488125
15632,Moong(Green Gram),2017,Kharif     ,Madhya Pradesh,228400,137110,800,35959296,86792,0.594509804
11126,Small millets,2009,Kharif     ,Himachal Pradesh,4937,1771,969.9,769283.34,839.29,0.367142857
4775,Potato,2016,Kharif     ,Andhra Pradesh,527,4751,890,80762.75,184.45,9.09
2573,Castor seed,2008,Kharif     ,Assam,1225,517,2109.9,175224,110.25,0.433333333
4939,Garlic,2016,Whole Year ,Karnataka,6534,5420,1147.2,1001335.5,2286.9,1.007058824
13179,Horse-gram,2013,Kharif     ,Haryana,600,400,452.2,86694,162,0.723333333
11518,Urad,2010,Kharif     ,Chhattisgarh,102808,29551,1283.1,17077436.88,24673.92,0.291111111
13234,Castor seed,2013,Kharif     ,Madhya Pradesh,2458,1191,1451.4,355156.42,663.66,0.48
2655,Sugarcane,2008,Whole Year ,Karnataka,281100,24266201,1164.1,40208544,25299,85.54
13455,Urad,2013,Rabi       ,Telangana,9473,9028,1348.7,1368753.77,2557.71,0.912857143
10870,Barley,2008,Rabi       ,Uttar Pradesh,171861,376048,891.6,24582997.44,15467.49,2.203285714
4353,Soyabean,2014,Kharif     ,Meghalaya,1712,3332,3484.4,258443.52,564.96,2.221818182
12639,Garlic,2012,Whole Year ,Haryana,657,6600,307.9,99075.6,203.67,9.393333333
4338,Jute,2014,Kharif     ,Meghalaya,6590,66256,3484.4,994826.4,2174.7,9.78
8417,Groundnut,2003,Kharif     ,Chhattisgarh,36318,40240,1643.7,3594755.64,8716.32,1.069333333
9149,Rapeseed &Mustard,2004,Rabi       ,Punjab,60000,62000,366.4,6500400,12600,1.081176471
16573,Other Summer Pulses,2018,Summer     ,Uttarakhand,3,2,1373,486.6,1.05,0.67
12584,Sugarcane,2012,Whole Year ,Chhattisgarh,9227,25800,1366.8,1391431.6,2860.37,3.100434783
5756,Tapioca,2018,Whole Year ,Tamil Nadu,75644,2629655,986.2,12269456.8,26475.4,34.88068966
17290,Moong(Green Gram),2019,Summer     ,West Bengal,70233,28665,1733.4,12063220.08,25986.21,0.747619048
14303,Castor seed,2015,Kharif     ,Haryana,500,400,426.8,78955,165,0.875
2339,Niger seed,2007,Kharif     ,Karnataka,31244,11750,1323.3,4167949.6,4999.04,0.349166667
13343,Rice,2013,Rabi       ,Mizoram,550,883,1848.8,79469.5,148.5,1.666666667
6075,Horse-gram,2019,Kharif     ,Tamil Nadu,2439,1697,910.1,418922.64,902.43,0.725
5257,Rice,2017,Kharif     ,Goa,27219,71279,2772.5,4285359.36,10343.22,2.635
14696,Gram,2015,Rabi       ,Jharkhand,36163,30442,1085.6,5710499.33,11933.79,0.88
18377,Other Cereals,2019,Rabi       ,Jammu and Kashmir,5834,1093,1324.1,1002047.84,2158.58,0.22
11138,Groundnut,2009,Summer     ,Maharashtra,61500,100700,1002.4,9582930,10455,1.522
16808,Horse-gram,2019,Kharif     ,Haryana,425,213,351.8,72998,157.25,0.666666667
15465,Other  Rabi pulses,2017,Rabi       ,Chhattisgarh,3158,417,1124.5,497195.52,1200.04,0.19625
17612,Tobacco,2003,Whole Year ,Jammu and Kashmir,7,1,1430.3,692.86,1.68,0.133333333
14980,Horse-gram,2016,Kharif     ,Madhya Pradesh,13000,6420,1048.4,1992250,4550,0.484
15284,Masoor,2016,Rabi       ,Uttarakhand,10291,7667,1580.9,1577095.75,3601.85,0.740769231
8654,Groundnut,2003,Kharif     ,Nagaland,2000,3000,1709.8,197960,480,1.51625
4855,Mesta,2016,Kharif     ,Assam,3544,21344,2296.8,543118,1240.4,5.905384615
11636,Groundnut,2010,Kharif     ,Madhya Pradesh,201177,300558,856.3,33417511.47,48282.48,1.348958333
4288,Sunflower,2014,Summer     ,Karnataka,16449,14635,1238.5,2483141.04,5428.17,0.886470588
2400,Castor seed,2007,Whole Year ,Tamil Nadu,5184,1624,1067.2,691545.6,829.44,0.344782609
15392,Sunflower,2017,Kharif     ,Arunachal Pradesh,571,466,2745.5,89898.24,216.98,0.781
10380,Maize,2007,Rabi       ,Nagaland,1500,2860,1769,200100,240,1.91
18848,Rice,2019,Kharif     ,Sikkim,8685,16137,2740,1491735.6,3213.45,1.8225
9116,Linseed,2004,Rabi       ,Nagaland,7300,5640,1711.5,790882,1533,0.64
10602,Soyabean,2008,Kharif     ,Chhattisgarh,81764,79859,1117.9,11695522.56,7358.76,1.242857143
15613,Banana,2017,Whole Year ,Madhya Pradesh,26375.05,1834029,800,4152487.872,10022.519,47.73208333
10385,Potato,2007,Kharif     ,Nagaland,2500,35850,1769,333500,400,15.335
12442,Sunflower,2011,Kharif     ,Uttarakhand,24,10,1564.7,4020.48,7.92,0.38
14210,Sunflower,2015,Rabi       ,Bihar,11404,16203,874,1800805.64,3763.32,1.389583333
2314,Cardamom,2007,Whole Year ,Karnataka,21187,1978,1323.3,2826345.8,3389.92,0.0625
11689,Rice,2010,Summer     ,Maharashtra,29500,65800,1389,4900245,7080,2.388888889
15901,Masoor,2017,Rabi       ,Uttar Pradesh,484391,498327,652.1,76262519.04,184068.58,0.970410959
15559,Coriander,2017,Rabi       ,Himachal Pradesh,104,14,1182.2,16373.76,39.52,0.207142857
11999,Castor seed,2011,Kharif     ,Bihar,102,98,1097.1,17087.04,33.66,0.986666667
13093,Khesari,2013,Rabi       ,Chhattisgarh,315247,174016,1418.3,45550039.03,85116.69,0.564782609
10055,Masoor,2006,Rabi       ,Jharkhand,4190.51,2518,1465.1,535170.0321,921.9122,0.493571429
17683,Wheat,2004,Summer     ,Odisha,4054,5313,1290.4,439210.36,851.34,1.266071429
8141,Sesamum,2002,Kharif     ,Madhya Pradesh,126268,29042,800.8,11953791.56,31567,0.279111111
13293,Ragi,2013,Kharif     ,Maharashtra,124500,142300,1409.8,17989005,33615,1.244
15135,Groundnut,2016,Kharif     ,Punjab,1200,2300,635.9,183900,420,1.95
12264,Dry chillies,2011,Whole Year ,Manipur,8337,63360,1533.561905,1396614.24,2751.21,7.6
16409,Arhar/Tur,2018,Kharif     ,Punjab,2300,2400,585.5,373060,805,1.04125
8530,Rice,2003,Autumn     ,Jharkhand,614160.1,418254,1258.3,60789566.7,147398.424,0.74
18720,Rice,2007,Kharif     ,Sikkim,11860,19480,2003.4,1582124,1897.6,1.5475
15090,Arhar/Tur,2016,Kharif     ,Nagaland,3200,2890,1959.8,490400,1120,0.901818182
16012,Masoor,2018,Rabi       ,Arunachal Pradesh,453,352,2992.9,73476.6,158.55,0.869166667
8238,Moong(Green Gram),2002,Kharif     ,Nagaland,2000,2000,1536.6,189340,500,1.1575
1519,Urad,2003,Kharif     ,West Bengal,51227,31163,1526.7,5070448.46,12294.48,0.523529412
14156,Other Kharif pulses,2014,Kharif     ,West Bengal,951,636,1483.5,143562.96,313.83,0.545714286
10644,Bajra,2008,Kharif     ,Haryana,612934,1087000,715.6,87674079.36,55164.06,1.94
3523,Potato,2011,Whole Year ,Kerala,386,4827,3035.1,64662.72,127.38,11.5
17000,Masoor,2019,Rabi       ,Nagaland,2210,1820,1593,379589.6,817.7,0.825555556
7422,Urad,2000,Kharif     ,Uttar Pradesh,322257,134130,874.4,31635969.69,83786.82,0.463768116
16712,Barley,2019,Rabi       ,Chhattisgarh,1786,1088,1420.3,306763.36,660.82,0.697272727
8637,Moong(Green Gram),2003,Rabi       ,Mizoram,44,46,2499.5,4355.12,10.56,0.944
11429,Sannhamp,2009,Whole Year ,Madhya Pradesh,4188,1469,904.1,652574.16,711.96,0.368974359
9824,Small millets,2006,Kharif     ,Himachal Pradesh,7479,5083,1207,955143.09,1645.38,0.548571429
7921,Sunflower,2002,Kharif     ,Bihar,13359,17393,1105.8,1264696.53,3339.75,1.258148148
10504,Turmeric,2007,Whole Year ,Uttarakhand,223,403,1924.3,29748.2,35.68,1.91
1167,Urad,2002,Kharif     ,Tamil Nadu,196888,78555,315.9,18639386.96,49222,0.422962963
5631,Horse-gram,2018,Rabi       ,Karnataka,146902,73961,1419.1,23827504.4,51415.7,0.487307692
2406,Ginger,2007,Whole Year ,Tamil Nadu,625,11898,1067.2,83375,100,18.97857143
3790,Sugarcane,2012,Whole Year ,Kerala,1742,165720,2187.6,262693.6,540.02,48.69090909
710,Urad,2000,Rabi       ,Puducherry,3392,2123,1434.5875,332992.64,881.92,0.706666667
5557,Turmeric,2018,Whole Year ,Assam,15896,19395,2372.9,2578331.2,5563.6,1.225925926
11211,Soyabean,2009,Kharif     ,Nagaland,24240,25010,1225.9,3777076.8,4120.8,1.030909091
7260,Wheat,2000,Rabi       ,Maharashtra,754200,947600,1057.8,74039814,196092,1.197
18608,Rice,2007,Kharif     ,Manipur,166150,406150,1435.7,22164410,26584,2.378888889
11804,Sunflower,2010,Kharif     ,Tamil Nadu,8718,10036,1095.2,1448146.98,2092.32,1.258518519
8010,Jowar,2002,Kharif     ,Haryana,113069,22000,353.9,10704242.23,28267.25,0.0975
10505,Urad,2007,Kharif     ,Uttarakhand,11409,8776,1924.3,1521960.6,1825.44,0.686923077
343,Mesta,1999,Kharif     ,Assam,5177,25515,2201.8,549435.01,1397.79,4.622380952
5710,Black pepper,2018,Whole Year ,Tamil Nadu,5571,1176,986.2,903616.2,1949.85,0.16
12390,Maize,2011,Kharif     ,Uttar Pradesh,745217,1232077,777.4,124838751.8,245921.61,1.535352113
5181,Arhar/Tur,2017,Kharif     ,Assam,5609,4672,2098.563636,883080.96,2131.42,0.821111111
19529,Rice,2013,Winter     ,Odisha,3298000,5734000,1632.4,476528020,890460,1.853
8872,Rice,2004,Winter     ,Assam,1636050,2574284,2536.9,177249657,343570.5,1.551304348
3357,Banana,2011,Whole Year ,Assam,47563,729102,1743.4,7967753.76,15695.79,14.98222222
8455,Maize,2003,Kharif     ,Delhi,93,184,962.3,9205.14,22.32,1.98
11604,Linseed,2010,Rabi       ,Himachal Pradesh,955,258,1319.8,158635.05,229.2,0.275
5994,Other Kharif pulses,2019,Kharif     ,Karnataka,37740,30652,1422.3,6482222.4,13963.8,0.788333333
15449,Ginger,2017,Whole Year ,Chhattisgarh,1958,2361,1124.5,308267.52,744.04,1.187619048
12579,Safflower,2012,Rabi       ,Chhattisgarh,681,195,1366.8,102694.8,211.11,0.284615385
3844,Dry chillies,2013,Rabi       ,Andhra Pradesh,18392,80405,1062.3,2657460.08,4965.84,3.246153846
3027,Maize,2009,Kharif     ,Meghalaya,17209,26167,2995.9,2681506.38,2925.53,1.574285714
6570,Gram,1998,Rabi       ,Tamil Nadu,7620,6348,1077.1,752856,2209.8,0.843333333
5699,Sugarcane,2018,Whole Year ,Kerala,1011.88,106299,2989.7,164126.936,354.158,81.14875
11864,Garlic,2010,Whole Year ,Uttarakhand,3000,19767,1419,498330,720,4.863333333
468,Potato,1999,Winter     ,West Bengal,313373,7449103,2318.1,33258276.49,84610.71,20.56777778
2079,Bajra,2006,Kharif     ,Karnataka,386456,161903,1146.3,49354295.76,85020.32,0.485
14793,Jute,2016,Kharif     ,Bihar,91380,1355875,1205.6,14003985,31983,16.25875
3121,Castor seed,2010,Kharif     ,Assam,978,419,2578.5,162455.58,234.72,0.428
11131,Wheat,2009,Rabi       ,Himachal Pradesh,350440,324174,969.9,54605560.8,59574.8,0.933333333
12026,Tobacco,2011,Whole Year ,Bihar,9942,18741,1097.1,1665483.84,3280.86,1.892727273
1618,Rapeseed &Mustard,2004,Rabi       ,Meghalaya,7222,4797,4767.9,782431.48,1516.62,0.64
5592,Turmeric,2018,Whole Year ,Meghalaya,2658,16557,5649.1,431127.6,930.3,5.918181818
3059,Groundnut,2009,Whole Year ,Tamil Nadu,413011,895718,928.5,64355374.02,70211.87,2.120322581
11955,Groundnut,2010,Autumn     ,West Bengal,2239,1946,1096,371920.29,537.36,1.016
7763,Jowar,2001,Kharif     ,Odisha,12260,7090,1672.5,1252113.8,3187.6,0.607894737
8037,Horse-gram,2002,Kharif     ,Himachal Pradesh,2582,599,890.8,244437.94,645.5,0.238181818
12658,Sunflower,2012,Kharif     ,Haryana,3891,8400,307.9,586762.8,1206.21,2.086666667
5911,Castor seed,2019,Rabi       ,Meghalaya,72,65,3844.4,12366.72,26.64,1.004
15264,Small millets,2016,Summer     ,Uttar Pradesh,81,75,965.3,12413.25,28.35,0.96
11825,Urad,2010,Rabi       ,Tripura,403,271,2348.3,66942.33,96.72,0.635
12354,Wheat,2011,Rabi       ,Punjab,3528000,17982000,705.2,591010560,1164240,5.0675
3039,Sugarcane,2009,Whole Year ,Meghalaya,76,206,2995.9,11842.32,12.92,2.46
18385,Rapeseed &Mustard,2019,Rabi       ,Jammu and Kashmir,45218,37098,1324.1,7766643.68,16730.66,0.880526316
6832,Potato,1999,Whole Year ,Madhya Pradesh,67359,856854,1222.9,7148810.67,18186.93,12.04827586
8204,Tobacco,2002,Whole Year ,Meghalaya,719,470,4355.3,68067.73,179.75,0.584
7777,Rice,2001,Kharif     ,Odisha,4500000,7220000,1672.5,459585000,1170000,1.583666667
1389,Rice,2003,Summer     ,Kerala,37186,83239,2386,3680670.28,8924.64,1.845
14886,Moong(Green Gram),2016,Kharif     ,Gujarat,153577,69704,710.5,23535675.25,53751.95,0.472580645
15602,Rapeseed &Mustard,2017,Rabi       ,Jharkhand,305045,218148,1165.7,48026284.8,115917.1,0.734583333
202,Groundnut,1998,Kharif     ,Karnataka,1012577,929016,1260.8,100042607.6,293647.33,0.8568
13497,Moong(Green Gram),2013,Kharif     ,Uttar Pradesh,38504,12350,995.2,5563442.96,10396.08,0.362181818
7281,Groundnut,2000,Kharif     ,Nagaland,3500,4000,1631.8,343595,910,1.18125
1403,Cotton(lint),2003,Kharif     ,Meghalaya,7281,7792,3321.3,720673.38,1747.44,1.036666667
7506,Bajra,2001,Whole Year ,Chhattisgarh,282,11012,1550,28800.66,73.32,37.904
17593,Barley,2003,Rabi       ,Jammu and Kashmir,9639,4729,1430.3,954068.22,2313.36,0.978333333
11735,Rapeseed &Mustard,2010,Rabi       ,Mizoram,378,303,2738.7,62789.58,90.72,0.9525
11998,Barley,2011,Rabi       ,Bihar,10823,16690,1097.1,1813068.96,3571.59,1.438125
10056,Onion,2006,Rabi       ,Jharkhand,2914.72,16719,1465.1,372238.8912,641.2384,5.84
15468,Potato,2017,Kharif     ,Chhattisgarh,1596,7003,1124.5,251274.24,606.48,4.111111111
1561,Rice,2004,Kharif     ,Karnataka,1055061,2627561,1117.7,114305308.7,221562.81,2.37
11439,Urad,2009,Kharif     ,Madhya Pradesh,568158,213136,904.1,88530379.56,96586.86,0.351
7726,Barley,2001,Rabi       ,Nagaland,4000,8000,1532,408520,1040,2.00875
6147,Maize,1997,Kharif     ,Andhra Pradesh,305100,791500,927.5,29036367,94581,2.201818182
830,Rice,2001,Summer     ,Assam,325987,653036,1824.7,33293052.31,84756.62,1.806521739
14405,Jowar,2015,Kharif     ,Maharashtra,620800,368100,875.7,98030528,204864,0.638
3490,Potato,2011,Kharif     ,Karnataka,30868,255098,1178.986364,5171007.36,10186.44,8.90875
3318,Arecanut,2011,Kharif     ,Puducherry,60,77,1434.5875,10051.2,19.8,1.28
10176,Rice,2007,Kharif     ,Chhattisgarh,3902881,5634972,1246.2,520644325.4,624460.96,1.393888889
14373,Horse-gram,2015,Kharif     ,Madhya Pradesh,13000,3376,1000.7,2052830,4290,0.258
7008,Jute,1999,Kharif     ,Uttar Pradesh,38,29,883.4,4032.94,10.26,0.7
440,Bajra,1999,Kharif     ,West Bengal,146,96,2318.1,15494.98,39.42,0.606666667
14411,Moong(Green Gram),2015,Kharif     ,Maharashtra,365868,69032,875.7,57774215.88,120736.44,0.20030303
5388,Moong(Green Gram),2017,Rabi       ,Tamil Nadu,151140,60333,970.9,23795481.6,57433.2,0.446296296
4660,Cashewnut,2015,Whole Year ,Kerala,43089.84,24733,2602.9,6804316.634,14219.6472,0.327857143
1168,Arecanut,2002,Whole Year ,West Bengal,9081,16568,1629.1,859698.27,2270.25,2.998235294
7189,Peas & beans (Pulses),2000,Kharif     ,Himachal Pradesh,5510,11886,1068.4,540916.7,1432.6,1.345555556
14220,Coriander,2015,Whole Year ,Chhattisgarh,2424,700,1136,382773.84,799.92,0.258148148
7964,Sunflower,2002,Kharif     ,Chhattisgarh,2591,996,1001.4,245289.97,647.75,0.389230769
4452,Rapeseed &Mustard,2015,Rabi       ,Andhra Pradesh,1426,764,940.7,225179.66,470.58,0.3975
3799,Banana,2012,Kharif     ,Meghalaya,6992,84613,2945.3,1054393.6,2167.52,10.55571429
10531,Groundnut,2008,Kharif     ,Bihar,1734,857,1197.7,248031.36,156.06,0.495
16906,Onion,2019,Whole Year ,Madhya Pradesh,173886.5,4270702,1446.7,29866745.24,64338.005,23.21745098
17448,Barley,2000,Rabi       ,Jammu and Kashmir,8730,4284,989.5,857024.1,2269.8,0.655
5865,Sweet potato,2019,Rabi       ,Puducherry,1,9,1317,171.76,0.37,9
3666,Banana,2012,Whole Year ,Assam,47063,763234,2167.5,7097100.4,14589.53,15.99074074
17523,Onion,2002,Whole Year ,Jammu and Kashmir,495,1107,933.2,46861.65,123.75,1.975714286
19655,Horse-gram,2018,Summer     ,Odisha,38,14,1635.9,6163.6,13.3,0.35
17684,Bajra,2004,Kharif     ,Uttar Pradesh,878399,1335462,704,95165747.66,184463.79,1.386666667
1587,Ginger,2004,Whole Year ,Kerala,9991,45305,2880.2,1082424.94,2098.11,3.022857143
8910,Ragi,2004,Kharif     ,Bihar,15570,10512,1147.8,1686853.8,3269.7,0.655357143
16570,Other Cereals,2018,Kharif     ,Uttarakhand,768,407,1373,124569.6,268.8,0.561428571
16693,Ragi,2019,Kharif     ,Bihar,2755,2193,1194.7,473198.8,1019.35,0.845238095
4776,Potato,2016,Rabi       ,Andhra Pradesh,1164,10675,890,178383,407.4,9.715
13219,Potato,2013,Rabi       ,Himachal Pradesh,3408,23871,1216.9,492421.92,920.16,4.882
12570,Onion,2012,Whole Year ,Chhattisgarh,5428,18613,1366.8,818542.4,1682.68,3.120416667
4223,Other Kharif pulses,2014,Kharif     ,Goa,208,186,3491.2,31399.68,68.64,0.945
14437,Cashewnut,2015,Whole Year ,Manipur,34,19,1329.1,5368.94,11.22,0.555
7573,Small millets,2001,Kharif     ,Gujarat,12900,2900,666.5,1317477,3354,0.21
2235,Urad,2006,Rabi       ,West Bengal,7434,5615,1631.4,949396.14,1635.48,0.697
2154,Sweet potato,2006,Whole Year ,Kerala,505,6405,3429.7,64493.55,111.1,11.50071429
9156,Cotton(lint),2004,Kharif     ,Tripura,1045,1555,2706.3,113215.3,219.45,1.4875
7866,Potato,2001,Rabi       ,Uttarakhand,5739,121724,1541.3,586124.07,1492.14,20.00692308
17042,Horse-gram,2019,Winter     ,Odisha,22722,8999,1593.9,3902730.72,8407.14,0.400344828
7387,Sannhamp,2000,Whole Year ,Tamil Nadu,10538,7681,971.1,1034515.46,2739.88,0.725625
